089-3323 volume_S1 (#/hr),089-3323 speed_S1 (mph),089-3332 volume_S2 (#/hr),089-3332 speed_S2 (mph),135-6285 volume_S3 (#/hr),135-6285 speed_S3 (mph),135-6287 volume_S4 (#/hr),135-6287 speed_S4 (mph),time (hr)
5839,68.5,4541,72.8,5468,71.4,3950,68.4,0
4055,68.4,3029,72.5,3422,70.3,2614,68.6,1
2988,68.6,2604,72.7,2582,70,2138,68.5,2
2828,68.6,2524,72.1,2785,71.1,2549,69.2,3
3739,70.6,1620,72.3,4629,73.1,4405,70.4,4
7602,72.2,1795,72.7,11097,70.8,11088,68.2,5
13503,67.8,2424,72.7,16462,59.4,14991,48.2,6
16671,56.2,3050,72.9,18052,52.5,17907,51.6,7
15285,41.8,3957,73.3,17989,53.4,18168,55,8
14763,57,5587,73.6,18405,54.6,17300,59.4,9
13125,69.3,7780,73.1,17418,67.1,16680,66.7,10
12988,69.6,10123,72.5,17637,67.2,17175,66.7,11
13283,68.8,11017,72.3,17562,68,17715,66.7,12
13576,68.5,11739,71.3,17975,65.2,18373,66.5,13
14601,68,12266,71.6,18389,63.7,19013,64.3,14
16701,66.5,12329,71.7,18196,58.1,19018,58.8,15
17807,62.6,11810,72.1,17415,52.6,19213,53.4,16
17110,62.8,11881,71.2,16133,47.9,19507,46.3,17
15187,62.6,11262,70.7,16523,49.4,18516,41.6,18
12166,65.7,9846,70.4,14032,58.5,16552,57.7,19
9318,68.2,8035,71.2,11895,68.4,13875,66,20
7597,68.6,6646,72.4,9556,69.6,11792,68.1,21
5986,69.3,5520,71.9,7467,70.2,10240,68.6,22
4280,69.5,3785,71.5,5336,71,7343,69.8,23