135-6285 volume_entrance (#/hr),135-6285 speed_entrance (mph),135-6287 volume_exit (#/hr),135-6287 speed_exit (mph),time (hr)
5927,72.2,5778,70.1,0
3920,71.7,3838,70.2,1
3356,72,3190,70.3,2
2996,71.3,2826,70.6,3
2379,71,2381,70.2,4
2699,73,2699,70.7,5
4074,73.9,4066,71.1,6
5466,73.8,5463,71.6,7
7926,74.3,7821,71.9,8
10367,73.9,10476,71.7,9
13742,72.1,13735,70.8,10
15174,71.9,15262,70.3,11
16513,70.9,16376,69.8,12
17925,69.3,17911,67.3,13
17981,69,17950,66.4,14
17361,69.2,17348,68.3,15
17701,67.1,18066,66.3,16
16963,61.9,17056,64.6,17
16519,66.9,16539,66.2,18
14286,68.9,14130,67.8,19
12107,70.2,12171,69.1,20
9903,70.8,10141,69.5,21
7556,71.6,7593,70.2,22
4887,71.8,4872,70.2,23